sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
1.116,	0.01,	1.789,	0.3111,	-611.4,	19.66,	46.34
1.337,	0.01,	1.789,	0.3111,	-613.0,	17.84,	66.05
1.558,	0.01,	1.789,	0.3111,	-613.2,	17.83,	71.31
1.779,	0.01,	1.789,	0.3111,	-611.9,	19.96,	53.2
2.0,	0.01,	1.789,	0.3111,	-613.3,	19.25,	53.04
0.01,	0.2311,	1.789,	0.3111,	-303.4,	13.09,	3.042
0.2311,	0.2311,	1.789,	0.3111,	-308.1,	17.15,	5.193
0.4522,	0.2311,	1.789,	0.3111,	-309.7,	18.26,	6.242
0.6733,	0.2311,	1.789,	0.3111,	-306.7,	15.94,	4.146
0.8944,	0.2311,	1.789,	0.3111,	-310.8,	19.78,	5.757
1.116,	0.2311,	1.789,	0.3111,	-308.4,	17.74,	4.575
1.337,	0.2311,	1.789,	0.3111,	-309.6,	18.97,	3.706
1.558,	0.2311,	1.789,	0.3111,	-308.3,	16.97,	5.656
1.779,	0.2311,	1.789,	0.3111,	-309.4,	18.3,	5.57
2.0,	0.2311,	1.789,	0.3111,	-310.8,	19.82,	5.224
0.01,	0.4522,	1.789,	0.3111,	-294.9,	4.959,	1.168
0.2311,	0.4522,	1.789,	0.3111,	-298.2,	7.747,	2.614
0.4522,	0.4522,	1.789,	0.3111,	-298.0,	7.364,	3.061
0.6733,	0.4522,	1.789,	0.3111,	-300.2,	9.374,	4.331
0.8944,	0.4522,	1.789,	0.3111,	-299.3,	8.592,	3.113
1.116,	0.4522,	1.789,	0.3111,	-299.9,	9.434,	3.038
1.337,	0.4522,	1.789,	0.3111,	-299.9,	9.334,	3.021
1.558,	0.4522,	1.789,	0.3111,	-300.1,	9.827,	2.595
1.779,	0.4522,	1.789,	0.3111,	-299.2,	8.74,	2.612
2.0,	0.4522,	1.789,	0.3111,	-300.6,	10.14,	2.68
0.01,	0.6733,	1.789,	0.3111,	-293.3,	3.324,	1.318
0.2311,	0.6733,	1.789,	0.3111,	-296.7,	6.246,	2.918
0.4522,	0.6733,	1.789,	0.3111,	-296.9,	6.446,	2.825
0.6733,	0.6733,	1.789,	0.3111,	-297.5,	6.913,	3.08
0.8944,	0.6733,	1.789,	0.3111,	-298.0,	7.337,	3.103
1.116,	0.6733,	1.789,	0.3111,	-297.5,	6.968,	3.023
1.337,	0.6733,	1.789,	0.3111,	-298.3,	7.875,	2.77
1.558,	0.6733,	1.789,	0.3111,	-298.6,	7.943,	3.6
1.779,	0.6733,	1.789,	0.3111,	-298.1,	7.699,	2.938
2.0,	0.6733,	1.789,	0.3111,	-298.1,	7.516,	2.689
0.01,	0.8944,	1.789,	0.3111,	-293.2,	3.15,	1.363
0.2311,	0.8944,	1.789,	0.3111,	-296.5,	5.918,	3.216
0.4522,	0.8944,	1.789,	0.3111,	-296.5,	6.006,	3.217
0.6733,	0.8944,	1.789,	0.3111,	-296.7,	6.234,	2.992
0.8944,	0.8944,	1.789,	0.3111,	-297.2,	6.664,	3.008
1.116,	0.8944,	1.789,	0.3111,	-297.5,	6.858,	3.3
1.337,	0.8944,	1.789,	0.3111,	-298.2,	7.56,	3.073
1.558,	0.8944,	1.789,	0.3111,	-297.6,	7.118,	2.582
1.779,	0.8944,	1.789,	0.3111,	-297.6,	7.23,	2.815
2.0,	0.8944,	1.789,	0.3111,	-298.2,	7.496,	3.217
0.01,	1.116,	1.789,	0.3111,	-292.5,	2.666,	1.253
0.2311,	1.116,	1.789,	0.3111,	-295.9,	5.316,	2.946
0.4522,	1.116,	1.789,	0.3111,	-296.0,	5.57,	2.798
0.6733,	1.116,	1.789,	0.3111,	-296.7,	6.2,	3.001
0.8944,	1.116,	1.789,	0.3111,	-297.2,	6.601,	2.778
1.116,	1.116,	1.789,	0.3111,	-297.0,	6.264,	3.597
1.337,	1.116,	1.789,	0.3111,	-296.9,	6.41,	3.204
1.558,	1.116,	1.789,	0.3111,	-297.5,	6.929,	3.733
1.779,	1.116,	1.789,	0.3111,	-297.7,	7.17,	3.247
2.0,	1.116,	1.789,	0.3111,	-298.3,	7.641,	3.758
0.01,	1.337,	1.789,	0.3111,	-293.0,	2.932,	1.482
0.2311,	1.337,	1.789,	0.3111,	-295.6,	5.217,	3.07
0.4522,	1.337,	1.789,	0.3111,	-296.4,	5.91,	2.712
0.6733,	1.337,	1.789,	0.3111,	-296.2,	5.747,	2.573
0.8944,	1.337,	1.789,	0.3111,	-296.4,	5.937,	2.802
1.116,	1.337,	1.789,	0.3111,	-297.3,	6.605,	3.297
1.337,	1.337,	1.789,	0.3111,	-297.3,	6.747,	2.977
1.558,	1.337,	1.789,	0.3111,	-297.4,	6.874,	2.665
1.779,	1.337,	1.789,	0.3111,	-297.6,	6.978,	3.319
2.0,	1.337,	1.789,	0.3111,	-297.4,	6.908,	3.015
0.01,	1.558,	1.789,	0.3111,	-292.9,	2.914,	1.589
0.2311,	1.558,	1.789,	0.3111,	-295.3,	4.979,	2.42
0.4522,	1.558,	1.789,	0.3111,	-295.5,	5.018,	2.279
0.6733,	1.558,	1.789,	0.3111,	-297.4,	6.753,	3.338
0.8944,	1.558,	1.789,	0.3111,	-296.7,	6.314,	2.862
1.116,	1.558,	1.789,	0.3111,	-297.0,	6.54,	2.335
1.337,	1.558,	1.789,	0.3111,	-297.4,	6.907,	2.567
1.558,	1.558,	1.789,	0.3111,	-297.4,	6.918,	2.797
1.779,	1.558,	1.789,	0.3111,	-297.9,	7.279,	3.194
2.0,	1.558,	1.789,	0.3111,	-297.6,	6.894,	3.013
0.01,	1.779,	1.789,	0.3111,	-293.0,	2.987,	1.513
0.2311,	1.779,	1.789,	0.3111,	-295.2,	4.643,	3.146
0.4522,	1.779,	1.789,	0.3111,	-296.0,	5.339,	2.868
0.6733,	1.779,	1.789,	0.3111,	-297.6,	7.107,	2.939
0.8944,	1.779,	1.789,	0.3111,	-297.0,	6.378,	3.102
1.116,	1.779,	1.789,	0.3111,	-297.1,	6.543,	3.262
1.337,	1.779,	1.789,	0.3111,	-297.3,	6.762,	3.031
1.558,	1.779,	1.789,	0.3111,	-297.9,	7.183,	2.727
1.779,	1.779,	1.789,	0.3111,	-297.3,	6.813,	2.426
2.0,	1.779,	1.789,	0.3111,	-297.8,	7.238,	2.807
0.01,	2.0,	1.789,	0.3111,	-292.9,	2.736,	1.608
0.2311,	2.0,	1.789,	0.3111,	-295.3,	4.886,	2.371
0.4522,	2.0,	1.789,	0.3111,	-296.3,	5.861,	3.133
0.6733,	2.0,	1.789,	0.3111,	-296.7,	6.102,	2.869
0.8944,	2.0,	1.789,	0.3111,	-296.7,	6.327,	3.163
1.116,	2.0,	1.789,	0.3111,	-296.9,	6.428,	3.019
1.337,	2.0,	1.789,	0.3111,	-297.5,	7.001,	2.761
1.558,	2.0,	1.789,	0.3111,	-297.5,	7.033,	2.983
1.779,	2.0,	1.789,	0.3111,	-297.6,	7.081,	3.302
2.0,	2.0,	1.789,	0.3111,	-298.0,	7.785,	2.397
0.01,	0.01,	2.0,	0.3111,	-646.0,	18.41,	30.76
0.2311,	0.01,	2.0,	0.3111,	-651.2,	16.34,	66.35
0.4522,	0.01,	2.0,	0.3111,	-650.4,	17.93,	48.76
0.6733,	0.01,	2.0,	0.3111,	-650.1,	19.94,	39.0
0.8944,	0.01,	2.0,	0.3111,	-652.2,	17.72,	72.0
1.116,	0.01,	2.0,	0.3111,	-652.8,	15.93,	43.02
1.337,	0.01,	2.0,	0.3111,	-653.3,	16.77,	45.33
1.558,	0.01,	2.0,	0.3111,	-652.9,	18.74,	80.12
1.779,	0.01,	2.0,	0.3111,	-651.3,	19.8,	50.08
2.0,	0.01,	2.0,	0.3111,	-652.4,	20.5,	72.36
0.01,	0.2311,	2.0,	0.3111,	-343.0,	13.58,	2.908
0.2311,	0.2311,	2.0,	0.3111,	-346.0,	16.11,	2.613
0.4522,	0.2311,	2.0,	0.3111,	-347.9,	17.82,	4.763
0.6733,	0.2311,	2.0,	0.3111,	-347.4,	17.52,	4.589
0.8944,	0.2311,	2.0,	0.3111,	-348.3,	18.17,	4.693
1.116,	0.2311,	2.0,	0.3111,	-348.3,	18.32,	4.652
1.337,	0.2311,	2.0,	0.3111,	-348.8,	19.17,	4.226
1.558,	0.2311,	2.0,	0.3111,	-349.0,	18.94,	4.949
1.779,	0.2311,	2.0,	0.3111,	-348.3,	18.32,	3.757
2.0,	0.2311,	2.0,	0.3111,	-349.5,	19.41,	4.965
0.01,	0.4522,	2.0,	0.3111,	-335.0,	5.57,	1.71
0.2311,	0.4522,	2.0,	0.3111,	-336.8,	7.204,	2.398
0.4522,	0.4522,	2.0,	0.3111,	-337.8,	8.075,	3.045
0.6733,	0.4522,	2.0,	0.3111,	-338.9,	9.472,	2.443
0.8944,	0.4522,	2.0,	0.3111,	-339.3,	9.683,	3.079
1.116,	0.4522,	2.0,	0.3111,	-339.2,	9.583,	2.685
1.337,	0.4522,	2.0,	0.3111,	-339.1,	9.325,	2.99
1.558,	0.4522,	2.0,	0.3111,	-340.0,	10.2,	3.28
1.779,	0.4522,	2.0,	0.3111,	-339.5,	9.873,	2.758
2.0,	0.4522,	2.0,	0.3111,	-339.0,	9.355,	2.479
0.01,	0.6733,	2.0,	0.3111,	-332.4,	3.24,	1.398
0.2311,	0.6733,	2.0,	0.3111,	-335.7,	6.124,	2.539
0.4522,	0.6733,	2.0,	0.3111,	-336.1,	6.471,	2.673
0.6733,	0.6733,	2.0,	0.3111,	-336.6,	6.96,	2.688
0.8944,	0.6733,	2.0,	0.3111,	-337.4,	7.632,	2.965
1.116,	0.6733,	2.0,	0.3111,	-336.8,	7.224,	3.017
1.337,	0.6733,	2.0,	0.3111,	-337.5,	7.779,	2.76
1.558,	0.6733,	2.0,	0.3111,	-337.8,	7.825,	3.082
1.779,	0.6733,	2.0,	0.3111,	-337.7,	7.928,	2.707
2.0,	0.6733,	2.0,	0.3111,	-338.0,	8.326,	2.89
0.01,	0.8944,	2.0,	0.3111,	-332.2,	3.011,	1.501
0.2311,	0.8944,	2.0,	0.3111,	-335.5,	6.053,	2.861
0.4522,	0.8944,	2.0,	0.3111,	-336.0,	6.209,	2.807
0.6733,	0.8944,	2.0,	0.3111,	-336.3,	6.663,	3.226
0.8944,	0.8944,	2.0,	0.3111,	-335.6,	5.99,	2.489
1.116,	0.8944,	2.0,	0.3111,	-336.6,	6.915,	2.708
1.337,	0.8944,	2.0,	0.3111,	-337.1,	7.379,	2.847
1.558,	0.8944,	2.0,	0.3111,	-336.8,	7.093,	2.846
1.779,	0.8944,	2.0,	0.3111,	-337.2,	7.631,	2.989
2.0,	0.8944,	2.0,	0.3111,	-337.6,	7.872,	2.815
0.01,	1.116,	2.0,	0.3111,	-332.6,	3.271,	2.007
0.2311,	1.116,	2.0,	0.3111,	-335.0,	5.348,	2.701
0.4522,	1.116,	2.0,	0.3111,	-336.1,	6.47,	2.865
0.6733,	1.116,	2.0,	0.3111,	-335.8,	6.257,	2.827
0.8944,	1.116,	2.0,	0.3111,	-336.3,	6.537,	2.847
1.116,	1.116,	2.0,	0.3111,	-336.9,	7.111,	3.161
1.337,	1.116,	2.0,	0.3111,	-336.9,	7.144,	3.062
1.558,	1.116,	2.0,	0.3111,	-337.0,	7.388,	2.543
1.779,	1.116,	2.0,	0.3111,	-337.5,	7.803,	3.064
2.0,	1.116,	2.0,	0.3111,	-337.1,	7.442,	2.897
0.01,	1.337,	2.0,	0.3111,	-331.9,	2.647,	1.478
0.2311,	1.337,	2.0,	0.3111,	-334.9,	5.168,	3.319
0.4522,	1.337,	2.0,	0.3111,	-335.1,	5.483,	2.724
0.6733,	1.337,	2.0,	0.3111,	-336.2,	6.479,	3.433
0.8944,	1.337,	2.0,	0.3111,	-336.4,	6.734,	3.467
1.116,	1.337,	2.0,	0.3111,	-336.6,	6.903,	2.713
1.337,	1.337,	2.0,	0.3111,	-336.8,	7.057,	2.481
1.558,	1.337,	2.0,	0.3111,	-336.2,	6.474,	3.276
1.779,	1.337,	2.0,	0.3111,	-336.9,	7.216,	2.773
2.0,	1.337,	2.0,	0.3111,	-337.0,	7.215,	3.369
0.01,	1.558,	2.0,	0.3111,	-332.0,	2.616,	1.614
0.2311,	1.558,	2.0,	0.3111,	-335.1,	5.354,	3.081
0.4522,	1.558,	2.0,	0.3111,	-335.9,	6.024,	3.089
0.6733,	1.558,	2.0,	0.3111,	-336.2,	6.555,	2.487
0.8944,	1.558,	2.0,	0.3111,	-336.3,	6.651,	2.829
1.116,	1.558,	2.0,	0.3111,	-336.8,	6.886,	3.192
1.337,	1.558,	2.0,	0.3111,	-336.9,	7.065,	3.0
1.558,	1.558,	2.0,	0.3111,	-336.9,	7.227,	2.881
1.779,	1.558,	2.0,	0.3111,	-337.3,	7.723,	3.037
2.0,	1.558,	2.0,	0.3111,	-336.4,	6.692,	2.565
0.01,	1.779,	2.0,	0.3111,	-332.2,	2.972,	1.73
0.2311,	1.779,	2.0,	0.3111,	-335.2,	5.544,	2.583
0.4522,	1.779,	2.0,	0.3111,	-335.3,	5.563,	2.82
0.6733,	1.779,	2.0,	0.3111,	-336.4,	6.585,	4.311
0.8944,	1.779,	2.0,	0.3111,	-336.9,	7.146,	3.113
1.116,	1.779,	2.0,	0.3111,	-336.4,	6.681,	2.78
1.337,	1.779,	2.0,	0.3111,	-336.4,	6.738,	2.521
1.558,	1.779,	2.0,	0.3111,	-336.7,	7.037,	2.997
1.779,	1.779,	2.0,	0.3111,	-336.7,	7.125,	2.66
2.0,	1.779,	2.0,	0.3111,	-337.0,	7.448,	2.362
0.01,	2.0,	2.0,	0.3111,	-332.2,	2.899,	1.824
0.2311,	2.0,	2.0,	0.3111,	-335.4,	5.606,	2.841
0.4522,	2.0,	2.0,	0.3111,	-335.5,	5.757,	2.804
0.6733,	2.0,	2.0,	0.3111,	-336.6,	7.129,	2.616
0.8944,	2.0,	2.0,	0.3111,	-336.5,	6.87,	2.279
1.116,	2.0,	2.0,	0.3111,	-336.7,	7.147,	2.594
1.337,	2.0,	2.0,	0.3111,	-336.6,	7.043,	2.668
1.558,	2.0,	2.0,	0.3111,	-337.7,	7.798,	3.49
1.779,	2.0,	2.0,	0.3111,	-337.1,	7.422,	2.879
2.0,	2.0,	2.0,	0.3111,	-336.7,	7.18,	2.799
0.01,	0.01,	0.1,	0.5222,	-564.5,	12.99,	83.04
0.2311,	0.01,	0.1,	0.5222,	-445.3,	21.59,	38.97
0.4522,	0.01,	0.1,	0.5222,	-435.2,	11.58,	35.38
0.6733,	0.01,	0.1,	0.5222,	-433.1,	9.51,	34.27
0.8944,	0.01,	0.1,	0.5222,	-432.8,	8.525,	31.66
1.116,	0.01,	0.1,	0.5222,	-432.0,	10.51,	43.37
1.337,	0.01,	0.1,	0.5222,	-432.7,	9.039,	37.18
1.558,	0.01,	0.1,	0.5222,	-431.8,	9.635,	38.77
1.779,	0.01,	0.1,	0.5222,	-432.5,	10.28,	39.01
2.0,	0.01,	0.1,	0.5222,	-432.2,	10.05,	32.95
0.01,	0.2311,	0.1,	0.5222,	-382.7,	9.682,	5.931
0.2311,	0.2311,	0.1,	0.5222,	-267.3,	25.36,	10.73
0.4522,	0.2311,	0.1,	0.5222,	-254.2,	14.4,	3.879
0.6733,	0.2311,	0.1,	0.5222,	-251.9,	12.51,	2.437
0.8944,	0.2311,	0.1,	0.5222,	-250.9,	11.13,	3.28
1.116,	0.2311,	0.1,	0.5222,	-250.3,	10.57,	3.206
1.337,	0.2311,	0.1,	0.5222,	-250.6,	10.82,	3.423
1.558,	0.2311,	0.1,	0.5222,	-250.7,	11.09,	3.668
1.779,	0.2311,	0.1,	0.5222,	-251.1,	11.45,	2.918
2.0,	0.2311,	0.1,	0.5222,	-250.6,	10.9,	3.277
0.01,	0.4522,	0.1,	0.5222,	-377.8,	4.424,	6.018
0.2311,	0.4522,	0.1,	0.5222,	-257.7,	16.3,	7.667
0.4522,	0.4522,	0.1,	0.5222,	-247.5,	8.226,	2.242
0.6733,	0.4522,	0.1,	0.5222,	-246.0,	6.604,	2.183
0.8944,	0.4522,	0.1,	0.5222,	-245.5,	6.194,	1.988
1.116,	0.4522,	0.1,	0.5222,	-245.2,	5.865,	2.037
1.337,	0.4522,	0.1,	0.5222,	-244.8,	5.442,	1.967
1.558,	0.4522,	0.1,	0.5222,	-245.0,	5.531,	2.029
1.779,	0.4522,	0.1,	0.5222,	-244.7,	5.224,	2.118
2.0,	0.4522,	0.1,	0.5222,	-244.7,	5.547,	1.565
0.01,	0.6733,	0.1,	0.5222,	-377.1,	3.912,	5.653
0.2311,	0.6733,	0.1,	0.5222,	-259.2,	18.24,	8.741
0.4522,	0.6733,	0.1,	0.5222,	-247.5,	8.12,	2.488
0.6733,	0.6733,	0.1,	0.5222,	-245.1,	5.65,	2.184
0.8944,	0.6733,	0.1,	0.5222,	-244.0,	4.534,	2.327
1.116,	0.6733,	0.1,	0.5222,	-244.3,	4.948,	2.095
1.337,	0.6733,	0.1,	0.5222,	-243.3,	4.041,	1.605
1.558,	0.6733,	0.1,	0.5222,	-244.3,	4.98,	2.094
1.779,	0.6733,	0.1,	0.5222,	-244.3,	4.785,	2.563
2.0,	0.6733,	0.1,	0.5222,	-244.3,	4.874,	2.024
0.01,	0.8944,	0.1,	0.5222,	-377.8,	3.426,	6.522
0.2311,	0.8944,	0.1,	0.5222,	-259.3,	18.16,	9.375
0.4522,	0.8944,	0.1,	0.5222,	-246.5,	7.087,	2.161
0.6733,	0.8944,	0.1,	0.5222,	-244.6,	5.22,	2.385
0.8944,	0.8944,	0.1,	0.5222,	-244.4,	5.068,	2.04
1.116,	0.8944,	0.1,	0.5222,	-243.7,	4.39,	2.338
1.337,	0.8944,	0.1,	0.5222,	-244.0,	4.514,	2.323
1.558,	0.8944,	0.1,	0.5222,	-243.6,	4.363,	2.035
1.779,	0.8944,	0.1,	0.5222,	-243.7,	4.347,	2.217
2.0,	0.8944,	0.1,	0.5222,	-243.8,	4.449,	1.731
0.01,	1.116,	0.1,	0.5222,	-377.3,	3.254,	6.656
0.2311,	1.116,	0.1,	0.5222,	-257.9,	17.57,	6.815
0.4522,	1.116,	0.1,	0.5222,	-248.1,	8.514,	2.892
0.6733,	1.116,	0.1,	0.5222,	-244.9,	5.548,	1.994
0.8944,	1.116,	0.1,	0.5222,	-243.7,	4.473,	2.178
1.116,	1.116,	0.1,	0.5222,	-243.5,	4.147,	1.709
1.337,	1.116,	0.1,	0.5222,	-243.7,	4.426,	1.866
1.558,	1.116,	0.1,	0.5222,	-244.0,	4.596,	2.156
1.779,	1.116,	0.1,	0.5222,	-243.7,	4.456,	2.142
2.0,	1.116,	0.1,	0.5222,	-243.4,	4.016,	2.064
0.01,	1.337,	0.1,	0.5222,	-377.6,	3.781,	6.194
0.2311,	1.337,	0.1,	0.5222,	-257.8,	16.69,	7.659
0.4522,	1.337,	0.1,	0.5222,	-246.8,	7.512,	1.858
0.6733,	1.337,	0.1,	0.5222,	-245.0,	5.687,	2.09
0.8944,	1.337,	0.1,	0.5222,	-244.5,	5.198,	2.003
1.116,	1.337,	0.1,	0.5222,	-244.2,	4.743,	2.375
1.337,	1.337,	0.1,	0.5222,	-243.7,	4.256,	1.952
1.558,	1.337,	0.1,	0.5222,	-244.2,	4.83,	1.841
1.779,	1.337,	0.1,	0.5222,	-244.1,	4.776,	2.284
2.0,	1.337,	0.1,	0.5222,	-243.6,	4.186,	1.959
0.01,	1.558,	0.1,	0.5222,	-377.4,	3.743,	7.399
0.2311,	1.558,	0.1,	0.5222,	-258.4,	17.94,	8.131
0.4522,	1.558,	0.1,	0.5222,	-246.9,	7.5,	2.381
0.6733,	1.558,	0.1,	0.5222,	-244.8,	5.503,	1.697
0.8944,	1.558,	0.1,	0.5222,	-244.5,	5.45,	1.549
1.116,	1.558,	0.1,	0.5222,	-244.5,	5.114,	2.181
1.337,	1.558,	0.1,	0.5222,	-243.9,	4.543,	2.101
1.558,	1.558,	0.1,	0.5222,	-243.9,	4.528,	2.1
1.779,	1.558,	0.1,	0.5222,	-243.6,	4.298,	1.652
2.0,	1.558,	0.1,	0.5222,	-243.9,	4.442,	2.092
0.01,	1.779,	0.1,	0.5222,	-377.2,	3.558,	7.798
0.2311,	1.779,	0.1,	0.5222,	-257.9,	17.41,	7.528
0.4522,	1.779,	0.1,	0.5222,	-247.9,	8.373,	2.566
0.6733,	1.779,	0.1,	0.5222,	-245.1,	5.765,	2.069
0.8944,	1.779,	0.1,	0.5222,	-244.4,	5.059,	2.448
1.116,	1.779,	0.1,	0.5222,	-243.7,	4.395,	1.663
1.337,	1.779,	0.1,	0.5222,	-244.3,	4.745,	2.289
1.558,	1.779,	0.1,	0.5222,	-243.9,	4.564,	2.009
1.779,	1.779,	0.1,	0.5222,	-244.1,	4.872,	1.976
2.0,	1.779,	0.1,	0.5222,	-243.8,	4.418,	1.922
0.01,	2.0,	0.1,	0.5222,	-376.4,	3.5,	4.855
0.2311,	2.0,	0.1,	0.5222,	-259.1,	18.14,	8.311
0.4522,	2.0,	0.1,	0.5222,	-246.9,	7.508,	2.089
0.6733,	2.0,	0.1,	0.5222,	-245.2,	5.754,	2.374
0.8944,	2.0,	0.1,	0.5222,	-244.8,	5.465,	1.931
1.116,	2.0,	0.1,	0.5222,	-243.8,	4.707,	1.354
1.337,	2.0,	0.1,	0.5222,	-243.6,	4.322,	1.792
1.558,	2.0,	0.1,	0.5222,	-243.9,	4.62,	1.815
1.779,	2.0,	0.1,	0.5222,	-244.2,	4.883,	1.947
2.0,	2.0,	0.1,	0.5222,	-244.0,	4.643,	1.952
0.01,	0.01,	0.3111,	0.5222,	-516.3,	7.466,	35.39
0.2311,	0.01,	0.3111,	0.5222,	-439.5,	15.41,	25.16
0.4522,	0.01,	0.3111,	0.5222,	-434.7,	10.6,	33.43
0.6733,	0.01,	0.3111,	0.5222,	-432.5,	8.693,	25.11
0.8944,	0.01,	0.3111,	0.5222,	-432.5,	9.693,	38.3
1.116,	0.01,	0.3111,	0.5222,	-432.8,	10.17,	54.81
1.337,	0.01,	0.3111,	0.5222,	-432.2,	9.045,	48.12
1.558,	0.01,	0.3111,	0.5222,	-431.9,	11.28,	56.69
1.779,	0.01,	0.3111,	0.5222,	-430.3,	12.55,	38.37
2.0,	0.01,	0.3111,	0.5222,	-432.4,	10.57,	59.08
0.01,	0.2311,	0.3111,	0.5222,	-331.9,	9.278,	3.862
0.2311,	0.2311,	0.3111,	0.5222,	-259.1,	18.33,	7.521
0.4522,	0.2311,	0.3111,	0.5222,	-252.6,	12.75,	3.679
0.6733,	0.2311,	0.3111,	0.5222,	-251.4,	11.87,	3.343
0.8944,	0.2311,	0.3111,	0.5222,	-250.7,	11.32,	3.18
1.116,	0.2311,	0.3111,	0.5222,	-251.4,	11.83,	3.232
1.337,	0.2311,	0.3111,	0.5222,	-250.3,	10.58,	3.137
1.558,	0.2311,	0.3111,	0.5222,	-250.7,	11.05,	3.175
1.779,	0.2311,	0.3111,	0.5222,	-249.9,	10.34,	2.909
2.0,	0.2311,	0.3111,	0.5222,	-251.0,	11.2,	3.692
0.01,	0.4522,	0.3111,	0.5222,	-329.1,	4.357,	4.694
0.2311,	0.4522,	0.3111,	0.5222,	-253.8,	13.33,	6.161
0.4522,	0.4522,	0.3111,	0.5222,	-246.4,	6.903,	2.521
0.6733,	0.4522,	0.3111,	0.5222,	-244.6,	5.46,	1.443
0.8944,	0.4522,	0.3111,	0.5222,	-244.7,	5.354,	1.755
1.116,	0.4522,	0.3111,	0.5222,	-245.3,	5.812,	2.518
1.337,	0.4522,	0.3111,	0.5222,	-245.0,	5.608,	2.091
1.558,	0.4522,	0.3111,	0.5222,	-244.5,	5.201,	1.917
1.779,	0.4522,	0.3111,	0.5222,	-244.8,	5.396,	2.167
2.0,	0.4522,	0.3111,	0.5222,	-244.8,	5.375,	2.124
0.01,	0.6733,	0.3111,	0.5222,	-327.4,	2.929,	4.057
0.2311,	0.6733,	0.3111,	0.5222,	-251.8,	11.36,	5.019
0.4522,	0.6733,	0.3111,	0.5222,	-245.7,	6.268,	2.023
0.6733,	0.6733,	0.3111,	0.5222,	-244.4,	4.967,	2.118
0.8944,	0.6733,	0.3111,	0.5222,	-243.6,	4.216,	2.356
1.116,	0.6733,	0.3111,	0.5222,	-243.4,	4.127,	2.022
1.337,	0.6733,	0.3111,	0.5222,	-243.6,	4.32,	1.696
1.558,	0.6733,	0.3111,	0.5222,	-244.0,	4.595,	1.677
1.779,	0.6733,	0.3111,	0.5222,	-243.9,	4.555,	2.211
2.0,	0.6733,	0.3111,	0.5222,	-244.0,	4.64,	2.213
0.01,	0.8944,	0.3111,	0.5222,	-328.0,	3.027,	4.694
0.2311,	0.8944,	0.3111,	0.5222,	-253.1,	12.72,	6.765
0.4522,	0.8944,	0.3111,	0.5222,	-245.4,	5.803,	2.575
0.6733,	0.8944,	0.3111,	0.5222,	-243.7,	4.364,	1.804
0.8944,	0.8944,	0.3111,	0.5222,	-243.5,	4.257,	1.809
1.116,	0.8944,	0.3111,	0.5222,	-244.1,	4.677,	2.038
1.337,	0.8944,	0.3111,	0.5222,	-243.3,	3.957,	1.893
1.558,	0.8944,	0.3111,	0.5222,	-243.7,	4.317,	2.406
1.779,	0.8944,	0.3111,	0.5222,	-243.9,	4.578,	2.209
2.0,	0.8944,	0.3111,	0.5222,	-244.2,	4.92,	1.898
0.01,	1.116,	0.3111,	0.5222,	-327.8,	3.144,	5.008
0.2311,	1.116,	0.3111,	0.5222,	-252.5,	12.17,	5.283
0.4522,	1.116,	0.3111,	0.5222,	-244.9,	5.497,	1.878
0.6733,	1.116,	0.3111,	0.5222,	-243.9,	4.642,	1.912
0.8944,	1.116,	0.3111,	0.5222,	-243.8,	4.386,	2.202
1.116,	1.116,	0.3111,	0.5222,	-243.1,	3.888,	1.645
1.337,	1.116,	0.3111,	0.5222,	-243.6,	4.278,	1.886
1.558,	1.116,	0.3111,	0.5222,	-243.6,	4.294,	1.903
1.779,	1.116,	0.3111,	0.5222,	-243.5,	4.09,	2.453
2.0,	1.116,	0.3111,	0.5222,	-243.7,	4.399,	1.995
0.01,	1.337,	0.3111,	0.5222,	-327.5,	2.579,	3.741
0.2311,	1.337,	0.3111,	0.5222,	-251.6,	11.7,	5.244
0.4522,	1.337,	0.3111,	0.5222,	-244.7,	5.339,	2.547
0.6733,	1.337,	0.3111,	0.5222,	-243.7,	4.322,	1.842
0.8944,	1.337,	0.3111,	0.5222,	-243.8,	4.58,	1.915
1.116,	1.337,	0.3111,	0.5222,	-243.6,	4.178,	2.077
1.337,	1.337,	0.3111,	0.5222,	-243.3,	3.835,	2.254
1.558,	1.337,	0.3111,	0.5222,	-243.8,	4.219,	2.755
1.779,	1.337,	0.3111,	0.5222,	-243.8,	4.358,	1.892
2.0,	1.337,	0.3111,	0.5222,	-243.7,	4.423,	2.167
0.01,	1.558,	0.3111,	0.5222,	-327.7,	3.041,	4.259
0.2311,	1.558,	0.3111,	0.5222,	-252.0,	11.49,	5.429
0.4522,	1.558,	0.3111,	0.5222,	-245.0,	5.838,	1.935
0.6733,	1.558,	0.3111,	0.5222,	-244.1,	4.823,	2.09
0.8944,	1.558,	0.3111,	0.5222,	-243.4,	4.069,	2.074
1.116,	1.558,	0.3111,	0.5222,	-243.4,	4.128,	1.493
1.337,	1.558,	0.3111,	0.5222,	-244.2,	4.76,	2.186
1.558,	1.558,	0.3111,	0.5222,	-243.6,	4.381,	1.918
1.779,	1.558,	0.3111,	0.5222,	-244.4,	5.004,	2.06
2.0,	1.558,	0.3111,	0.5222,	-243.7,	4.486,	1.743
0.01,	1.779,	0.3111,	0.5222,	-327.4,	3.486,	4.914
0.2311,	1.779,	0.3111,	0.5222,	-253.7,	12.8,	8.055
